,city,name,phone,state,streetAddress,zipcode
21,Alexander,Trinity United Methodist Church,(256) 234-2455,Alabama,3266 Highway 280,35011
22,Alexander,The Salvation Army Tallapoosa County,(256) 215-3730,Alabama,823 Cherokee Road,35011
23,Alexander,Christian Crisis Center,(256) 329-3327,Alabama,4425 Dadeville Road,35010
24,Abbeville,Human Resource Development Corporation - Abbeville Hrdc,(334) 585-3170,Alabama,205 East Washington Avenue,36310
25,Abbeville,Judson Baptist Association Christian Ministry Center,(334) 585-3274,Alabama,532 Ozark Road,36310
26,Abbeville,Judson Baptist Association Abbeville,(334) 585-3274,Alabama,532 Ozark Road,36310
27,Arab,Salvation Army of Marshall County,(256) 586-8177,Alabama,430 N. Main Street,35016
28,Arab,Marshall County Christian Services - Got Food? North,(256) 931-5549,Alabama,165 North Main Street,35016
29,Ardmore,Christians Helping Others Food Pantry,256-423-7464,Alabama,26469 1st Street,35739
30,Ashford,Mercy Outreach,(334) 655-7099,Alabama,509 Broadway,36312
31,Athens,Limestone County Churches Involved (lcci),(256) 262-0671,Alabama,201 North Jefferson Street,35611
32,Auburn,Food Bank of East Alabama,(334) 821-9006,Alabama,375 Industry Drive,36832
33,Auburn,St Michael's Catholic Church,(334) 887-5540,Alabama,1100 N. College Avenue,36830
34,Auburn,Salvation Army of Lee County,(334) 826-0073,Alabama,1038 Opelika Road,36830
35,Atmore,American Red Cross - Escambia County Chapter,(251) 544-3643,Alabama,99 Louisville Ave,36502
36,Auburn,Lakeview Baptist Church,(334) 887-7094,Alabama,1600 E. Glenn Avenue,36830
37,Auburn,Church of The Harvest,(334) 745-2247,Alabama,2520 Society Hill Road,36830
38,Auburn,Auburn United Methodist Church - Aumc Food Pantry,(334) 826-8800,Alabama,302 W. Magnolia Avenue,36830
39,Bessemer,Triumph Youth And Adult Community Developmentnames ending in A-KOpen Friday for last names ending in L-Z,(205) 424-6892,Alabama,1431 13th Ave. North,35020
40,Bessemer,Salvation Army Bessemer Corps,(205) 425-4303,Alabama,525 13th Street,35020
41,Bessemer,Restoration Food Pantry,(205) 451-1750,Alabama,7555 Dickey Springs Road,35022
42,Bessemer,The Foundry Rescue Mission & Recovery Center,(205) 425-7737,Alabama,1804 6th Avenue North,35020
43,Bay,Catholic Social Services - Baldwin,(251) 937-7858,Alabama,610 B Railroad Street,36507
44,Bay,North Baldwin Ecumenical Associtation,(251) 937-8115,Alabama,700 2nd Street,36507
45,Boaz,The Hope Place Mission Ministry,(256) 298-1091,Alabama,545 A U.S. Highway 431,35957
46,Birmingham,Community Food Bank of Central Alabama,205-942-8911,Alabama,107 Walter Davis Drive,35209
47,Birmingham,FoodUSA - The Food Stamp Information Center (Food USA),1-800-FOODUSA,Alabama,1844 Montclair LN,35216
48,Birmingham,Baptist Church of the Covenant Sack Lunches,(205) 328-0644,Alabama,2117 University Boulevard,35233
49,Birmingham,The Ministry Center at Green Springs,(205) 326-1211,Alabama,2230 Green Springs Highway,35205
50,Birmingham,St Paul Food Pantry,(205) 324-2063,Alabama,132 6th Ave S,35205
51,Birmingham,Urban Ministry,(205) 781-0517,Alabama,1229 Cotton Avenue SW,35211
52,Birmingham,Southside Baptist Church,(205) 933-8381,Alabama,1016 19th Street South,35205
53,Birmingham,Project Hopewell,(205) 923-0203,Alabama,4817 Jefferson Avenue SW Bldg II,35221
54,Birmingham,Open Door Outreach Church,(205) 591-1130,Alabama,125 57th Street North,35212
55,Birmingham,Open Door Church,(205) 781-6060,Alabama,1004 McDonald Chapel Road,35224
56,Birmingham,Mt. Zion Community Development Center,(205) 328-4893,Alabama,1600 19th Avenue North,35204
57,Birmingham,Jefferson County Department of Human Resources Financial As,(205) 599-2900,Alabama,4500 Fifth Avenue South,35222
58,Birmingham,Greater Birmingham Ministries,(205) 326-6821,Alabama,2304 12th Avenue North,35234
59,Birmingham,Collat Jewish Family Services,(205) 879-3438,Alabama,3940 Montclair Road,35213
60,Brantley,Eagles Eye Community Development Cooperation,(334) 527-0333,Alabama,274 East Mills Avenue,36009
61,Birmingham,Catholic Center of Concern,(205) 786-4388,Alabama,712 4th Court West,35204
62,Birmingham,Bridge Ministries,(205) 930-0309,Alabama,1016 South 19th Street,35205
63,Birmingham,23rd Street Baptist Church - South,(205) 251-1752,Alabama,311 23rd St S,35233
64,Brewton,Community Action Agency - Escambia County,(251) 867-4759,Alabama,3227 Pea Ridge Road,36426
65,Birmingham,Vineyard Outreach,(205) 478-7920,Alabama,7728 2nd Avenue South,35206
66,Birmingham,Salvation Army Social Services,(205) 328-5656,Alabama,2130 11th Avenue North,35234
67,Birmingham,Miracle Deliverance Temple Church of God,(205) 925-2417,Alabama,28 South Park Road SW,35211
68,Birmingham,Independent Presbyterian Church,(205) 933-1830,Alabama,3100 Highland Avenue,35205
69,Birmingham,Eastern Area Christian Ministries,(205) 836-9932,Alabama,8000 2nd Avenue South,35206
70,Birmingham,Helpline Christian Outreach Ministries,(205) 833-7712,Alabama,8 Roebuck Drive,35215
71,Centre,Family Care Center - Cherokee County,(256) 927-6064,Alabama,800 West Main Street,35960
72,Centre,Cherokee County Crisis Center,(256) 927-6647,Alabama,1575 West Main Street,35960
73,Birmingham,The Brown Bag Project at Canterbury,205-871-4695,Alabama,350 Overbrook Road,35213
74,Birmingham,"Body of Christ Deliverance Ministry, Inc.",595-2762,Alabama,900 39th Street North,35222
75,Birmingham,Bread of Life Food Pantry,(205) 320-2111,Alabama,538 7th Street North,35203
76,Birmingham,Community Kitchens at Grace Episcopal Church - Meal Program, (205) 251-3569,Alabama,5712 1st Avenue North,Empty
77,Birmingham,Highlands United Methodist Church - Breakfast,(205) 933-8751,Alabama,1045 20th Street North,35205
78,Brookwood,Christian Minitries Center of the Pleasant Grove Baptist Association,(205) 554-7706,Alabama,16995 Waldon Pond Rd,35444
79,Clanton,"Chilton County Emergency Assistance Center, Inc",(205) 755-9467,Alabama,502 Enterprise Road,35046
80,Clayton,FMC Food Bank,(334) 775-0031,Alabama,3102 Highway 131,36016
81,Clayton,Human Resource Development Corporation - Clayton Hrdc,(334) 775-8817,Alabama,11 East College Street,36016
82,Columbia,Mary Martha Helping Hand,(334) 693-2906,Alabama,247 County Road 106,36319
83,Columbiana,Shelby Baptist Association Church and Community Ministries,(205) 669-7858,Alabama,205 Walton Street,35051
84,Columbiana,Wildwood Chapel,205-669-5392 ,Alabama,4817 Highway 26,35051
85,Crossville,Community Action Crossville,(256) 528-7002,Alabama,70 Coker Drive,35962
86,Crossville,Freedom Christian Fellowship,2568787630,Alabama,8377 AL. Hwy. 227,35962
87,Cullman,St Vincent De Paul Society - Cullman,(256) 737-5131,Alabama,201 3rd Avenue SE,35056
88,Cullman,First Baptist Church Cullman,(256) 734-5632,Alabama,501 Second Avenue SW,35055
89,Cullman,Daystar Church of God,(256) 287-3322,Alabama,200 Daystar Drive,35057
90,Cullman,Cullman Caring For Kids,(256) 739-1111,Alabama,402 Arnold Street NE,35055
91,Cullman,Caring Center - Northbrook Baptist,(256) 737-7757,Alabama,3691 Alabama Highway 157,35058
92,Cusseta,The Bridge Church,(334) 742-0144,Alabama,1000 Lee Road 263,36852
93,Dadeville,Loaves And Fishes,(256) 825-5078,Alabama,337 Hatcher Street,36853
94,Daleville,"Little Lites/ Light of The World Ministries, Cogic",(334) 598-4778,Alabama,1336 Highway 84,36322
95,Daleville,First United Methodist Church Daleville,(334) 598-2684,Alabama,44 S. Daleville Avenue,36322
96,Daleville,Daleville Christian Fellowship Worship Center,(334) 598-6279,Alabama,"1 Martin Luther King Jr. Circle , ",36322
97,Daphne,Community Action Agency of Baldwin,(251) 626-2646,Alabama,26440 North Pollard Road,36526
98,Daphne,Ransom Ministries Daphne ,(251) 751-0044,Alabama,4 Yacht Club Dr,36526
99,Demopolis,Friendship Baptist Church,(334) 289-0804,Alabama,24270 US Highway 80,36732
100,Demopolis,Demopolis Food Pantry,(334) 289-3363,Alabama,401 N Main Ave,36732
101,Deatsville,Cains Chapel,(334) 569-2375,Alabama,96 Lightwood Road,36022
102,Decatur,Redeeming Love Outreach Ministry,(256) 351-2711,Alabama,1528 Sherman Street SE,35601
103,Decatur,Progressive Christian Outreach Ministries - Out of The Rain,(256) 340-2020,Alabama,635 Memorial Dr. SW,35601
104,Decatur,Neighborhood Christian Center,(256) 351-7633,Alabama,706 Bank Street Northeast,35601
105,Decatur,Jubilee Family Worship Center,(256) 355-7771,Alabama,2704 Point Mallard Parkway,35603
106,Decatur,Decatur Dream Center,(256) 350-0615,Alabama,312 8th Street SE,35601
107,Decatur,Pact - Parents And Children Together,(256) 355-7252,Alabama,245 B Jackson Street,35601
108,Decatur,Grant Street Church of Christ,(256) 353-8561,Alabama,240 Grant Street SE,35601
109,Double,"Main Street Ministries Double Springs, AL",334-676-9158,Alabama,10 Old School Road,35553
110,Dothan,Wiregrass Area United Way Food Bank - Food Bank Wiregrass Area United Way,(334) 794-9775,Alabama,382 Twitchell Rd.,36303
111,Dothan,The Ark/Grace Harvest Church,(334) 794-7223,Alabama,475 West Main Street,36301
112,Dothan,Salvation Army Dothan,(334) 792-1911,Alabama,1001 South Bell Street,36301
113,Dothan,Salvation Army Dothan,(334) 792-1911,Alabama,1007 S. Bell Street,36301
114,Dothan,Northside Assembly of God,(334) 671-0308,Alabama,645 Roney Road,36301
115,Dothan,Human Resource Development Corporation - Dothan Hrdc,(334) 794-8754,Alabama,601 N. St Andrews Street,36302
116,Dothan,Full Gospel Ministry,(334) 671-9313,Alabama,211 South Ussery,36301
117,Dothan,First United Methodist Church of Dothan,(334) 793-3555,Alabama,1380 West Main Street,36301
118,Dothan,First Church of The Nazarene,(334) 792-6974,Alabama,1018 Honeysuckle Road,36301
119,Dothan,First Baptist Church Dothan,(334) 792-3211,Alabama,300 West Main Street,36302
120,Dothan,First Assembly of God Dothan,(334) 793-4194,Alabama,3615 West Main Street,36305
121,Dothan,First Baptist Church,(334) 792-5117,Alabama,207 North Lena Street,36301
122,Dothan,Evergreen Presbyterian Church,(334) 792-7898,Alabama,1103 N. Pontiac Avenue,36303
123,Dothan,Dothan Rescue Mission,(334) 794-4637,Alabama,216 E. Crawford Street,36301
124,Dutton,Pleasant View Baptist Church,(256) 657-3805,Alabama,3825 County Road 378,35744
125,Dothan,Columbia Baptist Association Ministry Center,(334) 699-2855,Alabama,1306 Ross Clark Circle,36301
126,Dothan,Columbia Baptist Association,(334) 699-2855,Alabama,1308 Ross Clark Circle,36301
127,Dothan,Catholic Social Services,(334) 793-3601,Alabama,511 West Main Street,36301
128,Dothan,Catholic Social Services,(334) 793-3601,Alabama,557 West Main Street,36301
129,Dothan,Behold The Lamb of God Ministry,(334) 678-2361,Alabama,250 Chickasaw Street,36303
130,Dothan,Ark Dothan,(334) 794-7223,Alabama,475 West Main Street,36301
131,Dothan,Allen Temple Church of God In Christ,(334) 983-9791,Alabama,106 Farmer Street,36301
132,Dothan,Abundant Life Assembly of God,(334) 790-2739,Alabama,996 Prevatt Road,36301
133,Dothan,Greater Dothan Baptist Church,(334) 671-0711,Alabama,2041 Mimosa Drive,36301
134,Dothan,Good News Shop,(334) 792-8742,Alabama,148 North Foster Street,36301
135,Dothan,Evergreen Presbyterian Church,(334) 792-7898,Alabama,1103 North Pontiac Street,36301
136,Dothan,Dothan First Church of the Nazarene Food Pantry,334-792-6974,Alabama,1081 Honeysuckle Road,36305
137,Elba,Human Resource Development Corporation - Elba Hrdc,(334) 897-2667,Alabama,239 Court Avenue,36323
138,East,Mustard Seed- Outreach Ministry East Gadsden Church of God,(256) 546-4357,Alabama,105 Elmwood Avenue,35903
139,East,"Globe, Inc",(256) 492-5521,Alabama,2103 E Broad Street,35903
140,Enterprise,Johns Chapel Ame,(334) 393-2661,Alabama,605 Geneva Highway,36330
141,Enterprise,Good Samaritan Helping Hands,(334) 477-3816,Alabama,708 South Main Street,36330
142,Enterprise,College Avenue Church of Christ,(334) 347-8917,Alabama,211 West College Avenue,36330
143,Enterprise,Christian Mission Centers,(334) 393-2607,Alabama,481 Geneva Highway,36330
144,Enterprise,Human Resource Development Corporation,(334) 347-0881,Alabama,100 George Wallace Drive,36330
145,Enterprise,Green Hill Presbyterian Church Food Closet,(334) 347-9530,Alabama,735 East Lee Street,36330
146,Fairhope,Ecumenical Ministries Inc - Eastern Shore,(251) 928-3430,Alabama,564 Fairhope Avenue,36532
147,Eutaw,Greene County Community Service,(205) 372-4562,Alabama,116 Prairie Avenue,35462
148,Evergreen,Community Action Agency - Conecuh County,(251) 578-2331,Alabama,119 Desplouse Street,36401
149,Falkville,The Carpenters Cabinet,256-784-5311,Alabama,44 Railroad Ave,35622
150,Florence,Woodmont Baptist Church,(256) 766-1255,Alabama,2001 Darby Drive,35630
151,Florence,Crosspoint Church of Christ,(256) 764-4073,Alabama,1350 Cox Creek Parkway,35633
152,Florence,Chisholm Hills Church of Christ Benevolence Program,(256) 764-0104,Alabama,2810 Chisholm Road,35630
153,Florence,Help Center,(256) 766-7663,Alabama,621 South Court Street,35630
154,Eufaula,White Oak United Methodist Church,(334) 687-5991,Alabama,4180 Highway 431,36027
155,Eufaula,Human Resource Development Corporation - Eufaula Hrdc,(334) 687-8372,Alabama,1347 South Eufaula Avenue,36027
156,Eufaula,Grace Independent Baptist,(334) 687-5397,Alabama,9 Cheneyhatchee Drive,36027
157,Eufaula,Clearing House of Barbour County,(334) 687-2896,Alabama,111 Jackson Street,36072
158,Fort,Bethlehem Christian Church,(334) 404-9838,Alabama,317 Gilmer Hill Road,36032
159,Fayette,Fayette Community Service Programs,(205) 932-3218,Alabama,316 2nd Avenue NE,35555
160,Fort,Army Community Services Fort Rucker,(334) 255-9888,Alabama,5700 Novosel Street,36362
161,Foley,Ecumenical Ministries Inc - South Baldwin,(251) 943-3445,Alabama,102 West Spruce Street,36535
162,Fort,Salvation Army of Dekalb County,(256) 997-0858,Alabama,450 Gault Avenue,35967
163,Fort,Community Action Fort Payne,(256) 845-6702,Alabama,1209 Forrest Avenue North,35967
164,Gardendale,North Jefferson Baptist Association,(205) 608-3112,Alabama,775 Glenn Chapel Rd,35071
165,Gadsden,The Salvation Army- Gadsden,(256) 546-4673,Alabama,114 North 11th Street,35901
166,Gadsden,Love Center,(256) 547-5733,Alabama,735 First Avenue,35901
167,Gadsden,Etowah Baptist Missions Center,(256) 546-2980,Alabama,215 Wall Street,35904
168,Grant,Rising Above Ministries,(256) 783-6938,Alabama,3315 Cathedral Caverns Highway,35747
169,Gadsden,Catholic Center of Concern,(256) 546-0028,Alabama,612 Chestnut Street,35901
170,Gadsden,LoveWorks Food and Clothing Ministry,(256) 295-6015,Alabama,719 Nunnally Ave,35907
171,Furman,First Baptist Church - Pineapple,(251) 746-2838,Alabama,8833 Freedom Road,36741
172,Greensboro,Hero Housing Resource Center,(334) 624-0842,Alabama,1120 Main Street,36744
173,Grady,Helicon Missionary Baptist Church,(334) 537-4505,Alabama,1266 East Helicon Road,36036
174,Greenville,Joseph Ministries,(334) 382-5872,Alabama,112 Adams Street,36037
175,Gulf,Christian Service Center,(251) 968-5256,Alabama,317 Dolphin Avenue,36542
176,Grove,Community Action Agency - Clarke County,(251) 275-8498,Alabama,133 Court Street,36451
177,Hamilton,South Hamilton Baptist Church,(205) 921-7358,Alabama,1805 Military Street S,35570
178,Hamilton,Marion - Winston Community Action Agency,(205) 921-4224,Alabama,372 7th Avenue SW,35570
179,Hartford,Sardis Methodist Church,(334) 588-3075,Alabama,649 County Road 67,36344
180,Hartford,Hartford First United Methodist Church,(334) 588-2255,Alabama,205 South 3rd Street,36344
181,Hartford,New Birth of Emmanuel Outreach Center,(334) 588-2056,Alabama,310 W Kirkland Street,36344
182,Hartselle,Faith House - First United Methodist Church of Hartselle,(256) 751-1347,Alabama,210 Hickory Street,35640
183,Hartford,Hartford Food Pantry and Social Services Agency,(334) 588-2072,Alabama,119 E. Main Street Suite A.,36344
184,Hartselle,The Caring Place - Morgan Baptist Association,(256) 773-7922,Alabama,1410 State Street,35640
185,Hayneville,St Francis Apostolistic Church of God,(334) 563-7474,Alabama,1693 Main Street,36040
186,Hayneville,Mount Elam Baptist Church,(334) 563-7876,Alabama,4263 County Road 17,36040
187,Hayden,Hispanic Church of God Christ Is Coming,(256) 352-2951,Alabama,181 Warrior Pass,35079
188,Hayden,Faith Community Church,(205) 647-0609,Alabama,6093 County Highway 5,35079
189,Headland,Piney Grove Primitive Baptist Church,(334) 693-2662,Alabama,1947 Broad St.,36345
190,Headland,Living Waters Counseling - Henry County Family Resou,(334) 693-3380,Alabama,2130 County Road 125,36345
191,Headland,First Baptist-headland,(334) 693-3220,Alabama,301 East Church Street,36345
192,Headland,Gateway Baptist Church,(334) 693-3070,Alabama,1641 Highway 134 West,36345
193,Headland,Balkum Baptist Church-headland,(334) 693-0215,Alabama,1153 County Road 55,36345
194,Heflin,Hearts (helping Every Area Resident To Succeed),(256) 463-1020,Alabama,129 Almon Street,36264
195,Helena,Mount Pleasant Baptist Church Food Ministryname and A contact Phone Number must be provided using the email website.  A current Uti,(601) 678-1274,Alabama,5320 Helena Road,35080
196,Hillsboro,The Gathering Place,(256) 227-2746,Alabama,181 Church Street,35643
197,Hope,Liberty Church of Christ,(334) 281-6020,Alabama,15096 US Highway 31,36043
198,Huntsville,Food Bank of North Alabama,(256) 539-2256,Alabama,Empty,35805
199,huntsville,St. Marks Lutheran Church,(256)539-4361,Alabama,200 Longwood Dr SE,35801
200,Huntsville,Rock Family Worship Center - Manna House,(256) 533-9292,Alabama,2300 South Memorial Parkway,35801
201,Huntsville,Madison County Government - Northwest Community Service Org,(256) 532-1505,Alabama,3210 Hi Lo Circle Meridian Street,35811
202,Huntsville,Huntsville Adventist Community Service Center,(256) 539-3626,Alabama,1705 Pulaski Pike Road NW,35816
203,Huntsville,Mercy Ministries,(256) 881-7419,Alabama,3301 Westmill Drive,35805
204,Huntsville,Huntsville Assistance Program,(256) 539-2320,Alabama,406 1/2 Governors Drive,35801
205,Huntsville,St. Marks Lutheran Church,2565394361,Alabama,200 Longwood Dr. SE,35801
206,Huntsville,Carolyn's Cupboard at St. Paul's United Methodist Church,256-539-4901,Alabama,3250 Dunn Drive SW,25805
207,Huntsville,Holmes Street United Methodist Church,256-534-8865,Alabama,501 Holmes Avenue NW,35801
208,Huntsville,Food Bank of North Alabama,256-539-2256,Alabama,"2000 Vernon Avenue, STE B",35805
209,Hokes,Family Care Center - Etowah County,(256) 492-0557,Alabama,5511 Main Street,35903
210,Irondale,Futures Inc,(205) 370-0793,Alabama,1925 2nd Avenue South,35210
211,Jackson,Catholic Social Services - Clarke County,(251) 246-0131,Alabama,3309 College Avenue,36545
212,Jacksonville,Jacksonville Community Chest,(256) 435-9215,Alabama,12 Marbut Drive,36265
213,Jacksonville,Jacksonville Christian Outreach Center,(256) 435-1891,Alabama,206 Francis St West,36265
214,Kellyton,Community Life Center of Coosa County,(256) 377-4634,Alabama,151 County Road 30,35089
215,Kimberly,Kimberly Church of God,(205) 647-5374,Alabama,9108 Jefferson Street,35091
216,Holly,New Hope Baptist Church - Holly Pond,(256) 796-5171,Alabama,15 County Road 1698,35083
217,Jasper,Walker County Community Action Agency,(205) 221-4010,Alabama,644 19th Street W,35501
218,Jasper,Salvation Army Service Center Walker County,(205) 221-7737,Alabama,207 20th Street East,35501
219,Jasper,Salvation Army - Walker/winston/marion Counties Chapter,(205) 221-7737,Alabama,207 20th Street East,35502
220,Lincoln,Lincoln Food Pantry,205-763-0394,Alabama,Empty,35096
221,Lanett,Christian Service Center,(334) 576-3552,Alabama,5342 Cusseta Road,36863
222,Lowndesboro,First Missionary Baptist Church,(334) 875-6099,Alabama,546 Oak Drive,36752
223,Millbrook,"Welcome, Inc",(334) 285-0150,Alabama,3253 Main Street,36054
224,Millbrook,Church At The Brook,(334) 285-5783,Alabama,2890 Hwy 14,36054
225,Luverne,Fountain of Life Worship Center,(334) 335-3170,Alabama,311 Forest Avenue,36049
226,Luverne,Faith Walk Ministries,(334) 335-5352,Alabama,153 Jeffcoat Street,36049
227,Mobile,United Methodist Inner City Mission,(251) 432-1122,Alabama,913 Broad Street,36603
228,Mobile,St Matthews Episcopal Church,(251) 342-1178,Alabama,5901 Overlook Road,36618
229,Mobile,The Salvation Army Mobile Area Command,(251) 479-2389,Alabama,3200 Pleasant Valley Rd,36604
230,Mobile,Fulton Road Baptist Church - Loaves And Fishes,(251) 471-2525,Alabama,1800 Dauphin Island Parkway,36605
231,Mobile,First Baptist Church of Tillmans Corner,(251) 661-0114,Alabama,5660 Three Notch Road,36619
232,Mobile,Christ United Methodist,(251) 342-0462,Alabama,6101 Grelot Road,36609
233,Mobile,Central Presbyterian Church,(251) 432-0591,Alabama,1260 Dauphin Street,36604
234,Mobile,Catholic Social Services - Mobile Service Center,(251) 434-1501,Alabama,555 Dauphin Street,36602
235,Mobile,Bana Mobile Resource Center,(251) 471-3333,Alabama,1111 E. I65 Service Road 8,36606
236,Mobile,Ransom Ministries,(251) 751-0044,Alabama,7485 Airport blvd,36608
237,Mobile,City Church Of Mobile - Manna House Food Pantry,2513424886,Alabama,3750 Michael Blvd,36609
238,Mobile,Trinity Episcopal Food Pantry,(251) 473-2779,Alabama,1900 Dauphin St,36606
239,Madison,Community Alliance Network,256 617 9406,Alabama,500 Gooch Lane,35816
240,Montevallo,Shelby Emergency Assistance,(205) 665-1942,Alabama,620 Valley Street,35115
241,Monroeville,American Red Cross - Monroe County Chapter,(251) 544-6100,Alabama,1133 Drewry Road,36460
242,Montgomery,Montgomery Area Food Bank,334-263-3784,Alabama,521 Trade Center Street,36108
243,Montgomery,We Care Ministries,telephone number needed Pantry hours: Call for Details(334) 832-9511,Alabama,2124 East 2nd Street,36106
244,Montgomery,St Johns A M E Church,(334) 265-4136,Alabama,807 Madison Avenue,36104
245,New,C.A.R.E. Center,(256) 723-2273,Alabama,5039 Main Drive,35760
246,Moulton,Moulton Church of Christ,(256) 974-1236,Alabama,597 Main Street,35650
247,Moulton,Moulton Baptist Church,(256) 974-0661,Alabama,755 Walnut Street,35650
248,Moulton,Good Samaritan,(256) 974-1221,Alabama,144 Medical Circle,35650
249,Moulton,Pleasant Grove Baptist Church,(256) 974-3491,Alabama,11450 Al Hwy 33,35650
250,Montgomery,St Bede The Venerable Catholic Church,(334) 272-3463 ,Alabama,3870 Atlanta Highway,36109
251,Montgomery,Seventh Day Adventist Church,(334) 277-4164,Alabama,4233 Atlanta Highway,36109
252,Montgomery,Pilgrim Rest Baptist Church,(334) 265-1807,Alabama,1436 East Washington Avenue,36107
253,Montgomery,Old Augusta Baptist Church,(334) 279-7245,Alabama,9715 Wares Ferry Road,36117
254,Montgomery,New Harvest Church of Christ,(334) 286-8000,Alabama,4701 Virginia Loop Road,36116
255,Montgomery,Mount Zion A M E Zion Church,(334) 265-9361,Alabama,455 West Jeff Davis Avenue,36104
256,New,Poplar Springs Baptist Church,(334) 894-5082,Alabama,819 N John Street,36351
257,Montgomery,Love Center Full Gospel,(770) 907-9877,Alabama,3659 Debby Drive,36111
258,Montgomery,King Hill Baptist Family Life Center,(334) 262-1260,Alabama,1930 Stokes Street,36107
259,Montgomery,Holt Street Church of Christ,(334) 265-2253,Alabama,945 South Holt Street,36105
260,Montgomery,Hands of Christ Ministry Center,(334) 262-6438,Alabama,3000 Lower Wetumpka Road,36110
261,Montgomery,Freewill Baptist Church,(334) 262-2205,Alabama,1724 Hill Street,36108
262,Montgomery,Frazer Community Ministries,(334) 272-8622,Alabama,6000 Atlanta Highway,36117
263,Newton,Human Resource Development Corporation - Wicksburg Hrdc,(334) 692-3537,Alabama,388 Sharpie Road,36352
264,Montgomery,First Baptist Church Mission Center,(334) 263-6369,Alabama,722 Jefferson Street,36104
265,Montgomery,Family Guidance Center of Alabama,(334) 270-4100,Alabama,2358 Fairlane Drive,36116
266,Montgomery,Dalraida United Methodist Church,(334) 272-2190,Alabama,3817 Atlanta Highway,36109
267,Montgomery,Community Action Agency - Montgomery - Madison Park-flatwoo,(334) 263-0943,Alabama,360 Williams Drive,36110
268,Montgomery,Community Action Agency - Montgomery - Cleveland Court Nsc,(334) 265-5859,Alabama,660 Cleveland Court,36108
269,Montgomery,Church of The Holy Comforter Food Pantry,(334) 281-1337,Alabama,2911 Woodley Road,36111
270,Northport,West Alabama Food Bank,205-759-5519,Alabama,3160 McFarland Blvd,35476
271,Northport,The Little Closet - A Community Food Pantry,(205) 534-3104,Alabama,13222 Fondren Road,35475
272,Montgomery,Church of Christ,(334) 265-2253,Alabama,945 South Holt Street,36108
273,Montgomery,Catoma Baptist Church,(334) 265-2881,Alabama,4300 Old Selma Road,36108
274,Montgomery,Beulah Baptist Church,(334) 265-2697 ,Alabama,3703 Rosa L. Parks Ave,36106
275,Montgomery,"Shepherds Ministries, Inc",(334) 288-6650,Alabama,6048 Sherburn Road,36116
276,Montgomery,Newtown Church of Christ,(334) 262-5519,Alabama,1708 North Decatur Street,36104
277,Montgomery,Forest Park Baptist Ministry Center,(334) 269-5726,Alabama,2026 East Fourth Street,36106
278,Montgomery,First Baptist Church Community Ministries,(334) 262-2273,Alabama,52 Adams Avenue,36104
279,Montgomery,Community of Hope,(334) 235-2634,Alabama,2403 East South Blvd,36116
280,Montgomery,Community Action Agency - Montgomery - Trenholm Court Nsc,(334) 269-9896,Alabama,428 North Union Street,36104
281,Oneonta,Mountain Pointe Minstries Church of God,(205) 625-4459,Alabama,47430 US Highway 231,35121
282,Oneonta,Hope House - Oneonta,(205) 625-4673,Alabama,1000 Lincoln Avenue,35121
283,Montgomery,Community Action Agency - Montgomery,(334) 263-3474,Alabama,1066 Adams Avenue,36104
284,Montgomery,Catholic Social Services,(334) 288-8890,Alabama,4455 Narrow Lane Road,36116
