Name,Address,City_State_Zip,Phone_Number,Web_Address
Capital Area Food Bank,4900 Puerto Rico Ave NE,"Washington, DC 20017",202.526.5344,www.capitalareafoodbank.org
Food Bank of Delaware,14 Garfield Way,"Newark, DE 19713",302.292.1305,www.fbd.org
Harry Chapin Food Bank of Southwest Florida,3760 Fowler St.,"Ft. Myers, FL 33901",239.334.7007,www.harrychapinfoodbank.org
Treasure Coast Food Bank,401 Angle Rd.,"Ft. Pierce, FL 34947",772.489.3034,www.stophunger.org
Feeding Northeast Florida,"1116 Edgewood Avenue North, Units D and E","Jacksonville, FL 32254",904.513.1333,www.FeedingNEFL.org
Second Harvest Food Bank of Central Florida,411 Mercy Drive,"Orlando, FL 32805",407.295.1066,www.feedhopenow.org
Bread of the Mighty Food Bank ,PO Box 5086,"Gainesville, FL 32627",352.336.0839,http://www.breadofthemighty.org
"First Step Food Bank, Inc","4045 NE 36th Ave, PO Box 4774","Ocala, FL 34478",312.732.5500,http://www.firststepfoodbank.org/
Florida Gateway Food Bank,258 NW Burk Avenue,"Lake City, FL 32055",386.755.5683,http://www.floridagatewayfoodbank.org
Feeding South Florida,2501 SW 32 Terrace,"Pembroke Park, FL 33023",954.518.1818,www.feedingsouthflorida.org
All Faiths Food Bank,8171 Blaikie Ct.,"Sarasota, FL 34240",941.379.6333,www.allfaithsfoodbank.org
"America's Second Harvest of the Big Bend, Inc.",4446 Entrepot Blvd,"Tallahassee, FL 32310",850.562.3033,www.fightinghunger.org
Feeding Tampa Bay,"4702 Transport Dr., Bldg. 6","Tampa, FL 33605",813.254.1190,feedingtampabay.org
"Food Bank of Manatee, Inc.",811 23rd Avenue East,"Bradenton, FL 34208",941.747.4655,http://www.foodbankofmanatee.org
Catholic Charities/Agape Food Bank,"625 McCue Road, Suite 2","Lakeland, FL 33815",863.665.7074,http://www.cflcc.org/agape/home
Heartland Food Bank,227 US Highway 27 South,"Sebring, FL 33870",863.385.7885,No Site
Food Bank of Northeast Georgia,861 Newton Bridge Road P.O. Box 48857,"Athens, GA 30604",706.354.8191,www.foodbanknega.org
Atlanta Community Food Bank,732 Joseph E. Lowery Blvd. N.W.,"Atlanta, GA 30318",404.892.9822,www.acfb.org
Golden Harvest Food Bank,3310 Commerce Drive,"Augusta, GA 30909",706.736.1199,www.goldenharvest.org
Middle Georgia Community Food Bank,4490 Ocmulgee East Boulevard PO Box 5024,"Macon, GA 31217",478.742.3958,www.mgcfb.org
Feeding the Valley Food Bank,6744 Flat Rock Road,"Midland, GA 31820",706.561.4755,www.feedingthevalley.org
"America's Second Harvest of Coastal Georgia, Inc.",2501 East President Street,"Savannah, GA 31404",912.236.6750,www.helpendhunger.org
"Second Harvest of South Georgia, Inc",1411 Harbin Circle,"Valdosta, GA 31601",229.244.2678,www.feedingsga.org
"Hawaii Foodbank, Inc.",2611 Kilihau St,"Honolulu, HI 96819",808.836.3600,www.hawaiifoodbank.org
Maui Food Bank ,760 Kolu Street ,"Wailuku , HI 96793",808.243.9500,http://www.mauifoodbank.org
The Food Basket ,140-B Holomua Street ,"Hilo , HI 96720",808.935.3050,No Site
River Bend Foodbank,4010 Kimmel Drive,"Davenport, IA 52802",563.345.6490,www.riverbendfoodbank.org/
Food Bank of Iowa,2220 E. 17th Street P.O. Box 1517,"Des Moines, IA 50305",515.564.0330,www.foodbankiowa.org
HACAP Food Reservoir,1515 Hawkeye Drive PO Box 490,"Hiawatha, IA 52233",319.393.7811,www.hacap.org
Northeast Iowa Food Bank,1605 Lafayette Steet PO Box 2397,"Waterloo, IA 50703",319.235.0507,www.northeastiowafoodbank.org
The Idaho Foodbank,3562 TK Avenue,"Boise, ID 83705",208.336.9643,www.idahofoodbank.org
Greater Chicago Food Depository,4100 West Ann Lurie Place,"Chicago, IL 60632",773.247.3663,www.chicagosfoodbank.org
Northern Illinois Food Bank,273 Dearborn Ct.,"Geneva, IL 60134",630.443.6910,www.SolveHungerToday.org
Central Illinois Foodbank,1937 E. Cook,"Springfield, IL 62703",217.522.4022,www.centralilfoodbank.org
Eastern Illinois Foodbank,2405 North Shore Drive,"Urbana, IL 61802",217.328.3663,www.eifoodbank.org
PCCEO,721 W McBean,"Peoria, IL 61605",309.671.3906,http://www.peoriafoodbank.org/leadership-team/
Hoosier Hills Food Bank,2333 West Industrial Park Drive PO Box 697,"Bloomington, IN 47404",812.334.8374,www.hhfoodbank.org
"Tri-State Food Bank, Inc.",801 E. Michigan Street,"Evansville, IN 47711",812.425.0775,www.tristatefoodbank.org
"Community Harvest Food Bank of Northeast Indiana, Inc.",999 East Tillman Road P. O. Box 10967,"Fort Wayne, IN 46855",260.447.3696,www.chfb.org
"Food Bank of Northwest Indiana, Inc.",2248-50 W. 35th Avenue,"Gary, IN 46408",219.980.1777,www.foodbanknwi.org/
"Gleaners Food Bank of Indiana, Inc.",3737 Waldemere Ave.,"Indianapolis, IN 46241",317.925.0191,www.gleaners.org
Food Finders Food Bank Inc.,1204 Greenbush Street,"Lafayette, IN 47904",765.471.0062,www.food-finders.org
"Second Harvest Food Bank of East Central Indiana, Inc.",6621 N. Old SR 3,"Muncie, IN 47303",765.287.8698,www.curehunger.org
Food Bank of Northern Indiana,702 South Chapin Street,"South Bend, IN 46601",574.232.9986,www.feedindiana.org
Church Community Services ,907 Oakland Ave ,"Elkhart, IN 46516",574.295.3673,No Site
Terre Haute Catholic Charities Foodbank,1356 Locust Street,"Terre Haute, IN 47807",812.235.3424,www.archindy.org/cc/terrehaute/programs-foodbank.html
Kansas Food Bank,1919 E. Douglas,"Wichita, KS 67211",316.265.3663,www.kansasfoodbank.org
"Feeding America, Kentucky’s Heartland","313 Peterson Dr., PO Box 821","Elizabethtown, KY 42701",270.769.6997,www.feedingamericaky.org
Purchase Area Development District Food Bank,"1002 Medical Drive, P O Box 588 ","Mayfield, KY 42066",270.251.6141,http://www.purchaseadd.org
"God's Pantry Food Bank, Inc.",1685 Jaggie Fox Way,"Lexington, KY 40511",859.255.6592,www.godspantry.org
Dare to Care Food Bank,5803 Fern Valley Road PO Box 35458,"Louisville, KY 40232",502.966.3821,www.daretocare.org
Food Bank of Central Louisiana,3223 Baldwin Avenue,"Alexandria, LA 71301",318.445.2773,www.fbcenla.org
Greater Baton Rouge Food Bank,10600 S. Choctaw Drive Post Office Box 45830,"Baton Rouge, LA 70815",225.359.9940,www.brfoodbank.org
Food Bank of Northeast Louisiana,4600 Central Ave PO Box 5048,"Monroe, LA 71211",318.322.3567,www.foodbanknela.org/
Second Harvest Food Bank of Greater New Orleans and Acadiana,700 Edwards Avenue,"New Orleans, LA 70123",504.734.1322,www.no-hunger.org
Food Bank of Northwest Louisiana,2307 Texas Avenue,"Shreveport, LA 71103",318.675.2400,www.foodbanknla.org
The Greater Boston Food Bank,70 South Bay Ave,"Boston, MA 02118",617.427.5200,www.gbfb.org
The Food Bank of Western Massachusetts,97 North Hatfield Road PO Box 160,"Hatfield, MA 01038",413.247.9738,www.foodbankwma.org
"Worcester County Food Bank, Inc.",474 Boston Turnpike,"Shrewsbury, MA 01545",508.842.3663,www.foodbank.org
Maryland Food Bank,2200 Halethorpe Farms Road,"Baltimore, MD 21227",410.737.8282,www.mdfoodbank.org
Good Shepherd Food Bank,3121 Hotel Road PO Box 1807,"Auburn, ME 04211",207.782.3554,www.gsfb.org
Food Gatherers,1 Carrot Way P.O. Box 131037,"Ann Arbor, MI 48105",734.761.2796,www.foodgatherers.org
Food Bank of South Central Michigan,5451 Wayne Road P.O. Box 408,"Battle Creek, MI 49016",269.964.3663,www.foodbankofscm.org
Feeding America West Michigan Food Bank,864 West River Center Drive,"Comstock Park, MI 49321",616.784.3250,www.FeedWM.org
Gleaners Community Food Bank of Southeastern Michigan,2131 Beaufait Street,"Detroit, MI 48207",313.923.3535,www.gcfb.org
Monroe County Opportunity Program (MCOP) ,1140 S. Telegraph Rd,"Monroe, MI 48161",734.241.2775,http://www.monroecountyop.org
Food Bank of Eastern Michigan,2312 Lapeer Road,"Flint, MI 48503",810.239.4441,www.fbem.org
Greater Lansing Food Bank,919 Filley St.,"Lansing, MI 48906",517.853.7800,www.greaterlansingfoodbank.org
Forgotten Harvest,21800 Greenfield Road,"Oak Park, MI 48237",248.967.1500,www.forgottenharvest.org
"North Country Food Bank, Inc.",424 North Broadway,"Crookston, MN 56716",218.281.7356,northcountryfoodbank.org
Second Harvest Northern Lakes Food Bank,4503 Airpark Boulevard,"Duluth, MN 55811",218.727.5653,www.northernlakesfoodbank.org
Second Harvest North Central Food Bank,2222 Cromell Drive PO Box 5130,"Grand Rapids, MN 55744",218.326.4420,www.secondharvestncfb.com
Channel One Food Bank,"131 35th Street, SE","Rochester, MN 55904",507.424.1700,www.helpingfeedpeople.org
Second Harvest Heartland,1140 Gervais Avenue,"St. Paul, MN 55109",651.484.5117,www.2harvest.org
Feed My People Food Bank ,2610 Alpine Road ,"Eau Claire , WI 54703",715.835.9415,http://www.fmpfoodbank.org
St. Louis Area Foodbank,70 Corporate Woods Drive,"Bridgeton, MO 63044",314.292.6262,www.stlfoodbank.org
The Food Bank for Central & Northeast Missouri,"2101 Vandiver Drive, Suite B","Columbia, MO 65202",573.474.1020,www.sharefoodbringhope.org
Harvesters - The Community Food Network,3801 Topping Avenue,"Kansas City, MO 64129",816.929.3000,www.harvesters.org
Southeast Missouri Food Bank,600 State Highway H PO Box 190,"Sikeston, MO 63801",855.703.3663,www.semofoodbank.org
Ozarks Food Harvest,2810 N. Cedarbrook Ave,"Springfield, MO 65803",417.865.3411,www.ozarksfoodharvest.org
Second Harvest Community Food Bank,915 Douglas,"St. Joseph, MO 64505",816.364.3663,www.ourcommunityfoodbank.org
Mississippi Food Network,440 W. Beatty Street PO Box 411,"Jackson, MS 39205",601.973.7080,www.msfoodnet.org
Montana Food Bank Network,5625 Expressway,"Missoula, MT 59808",406.721.3825,www.mfbn.org
MANNA FoodBank,627 Swannanoa River Rd,"Asheville, NC 28805",828.299.3663,www.mannafoodbank.org
Second Harvest Food Bank of Metrolina,500 B Spratt St.,"Charlotte, NC 28206",704.376.1785,www.secondharvestmetrolina.org
Food Bank of the Albemarle,109 Tidewater Way P. O. Box 1704,"Elizabeth City, NC 27906",252.335.4035,www.afoodbank.org
Second Harvest Food Bank of Southeast North Carolina,"406 Deep Creek Road, PO Box 2009","Fayetteville, NC 28302",910.485.8809,www.ccap-inc.org/foodbank/index.php
Food Bank of Central & Eastern North Carolina,1924 Capital Boulevard,"Raleigh, NC 27604",919.875.0707,www.foodbankcenc.org
Inter-Faith Food Shuttle,1001 Blair Drive,"Raleigh, NC 27620",919.250.0043,www.foodshuttle.org
Second Harvest Food Bank of Northwest North Carolina,3655 Reed Street,"Winston-Salem, NC 27107",336.784.5770,www.hungernwnc.org
Great Plains Food Bank,1720 3rd Avenue North,"Fargo, ND 58102",701.232.6219,www.greatplainsfoodbank.org/
"Food Bank of Lincoln, Inc.","4840 Doris Bair Circle, Suite A","Lincoln, NE 68529",402.466.8170,www.lincolnfoodbank.org
Food Bank for the Heartland,10525 J Street,"Omaha, NE 68127",402.905.4802,www.foodbankheartland.org
"The Food Bank of Siouxland, Inc. ",1313 11 Street ,"Sioux City , IA 51105",712.255.9741,http://www.siouxlandfoodbank.org
New Hampshire Food Bank,700 East Industrial Park Drive,"Manchester, NH 03109",603.669.9725,www.nhfoodbank.org
Community FoodBank of New Jersey,31 Evans Terminal,"Hillside, NJ 07205",908.355.3663,www.cfbnj.org
Mercer Street Friends Food Bank,824 Silvia ST.,"Ewing, NJ 08628",609.406.0503,http://www.mercerstreetfriends.org
NORWESCAP Food Bank,201 N. Broad Street,"Phillipsburg, NJ 08865",908.454.4322,http://www.norwescap.org
Food Bank of Monmouth and Ocean Counties,3300 Route 66,"Neptune, NJ 07753",732.918.2600,No Site
"FULFILL - (The FoodBank of Monmouth and Ocean Counties, Inc.)",3300 Route 66,"Neptune, NJ 07753",732.918.2600,www.fulfillnj.org
Food Bank of South Jersey,1501 John Tipton Boulevard,"Pennsauken, NJ 08110",856.662.4884,www.foodbanksj.org
Roadrunner Food Bank,5840 Office Blvd NE,"Albuquerque, NM 87109",505.247.2052,www.rrfb.org
The Community Pantry,P.O. Box 520,"Gallup, NM 87301",505.726.8068,No Site
The Food Depot,1222 Siler Rd.,"Santa Fe, NM 87507",505.471.1633,http://www.thefooddepot.org
Food Bank of Eastern New Mexico,2217 East Brady St.,"Clovis, NM 88101",575.763.6130,http://www.fbenm.org
ECHO Inc.,401 S. Commercial,"Farmington, NM 87401",505.325.7466,http://www.echoinc.org
Three Square Food Bank,4190 N. Pecos Rd.,"Las Vegas, NV 89115",702.644.3663,www.threesquare.org
Food Bank of Northern Nevada,550 Italy Dr,"McCarran, NV 89434",775.331.3663,www.fbnn.org
Island Harvest,15 Grumman Road West Suite 1450,"Bethpage, NY 11714",516.294.8528,www.islandharvest.org
Food Bank of Western New York,91 Holt Street,"Buffalo, NY 14206",716.852.1305,www.foodbankwny.org
Food Bank of the Southern Tier,388 Upper Oakwood Avenue,"Elmira, NY 14903",607.796.6061,www.foodbankst.org
Food Bank for Westchester,200 Clearbrook Road,"Elmsford, NY 10523",914.923.1100,www.foodbankforwestchester.org/
"Long Island Cares, Inc.",10 Davids Drive,"Hauppauge, NY 11788",631.582.3663,www.licares.org
Regional Food Bank of Northeastern New York,965 Albany Shaker Rd.,"Latham, NY 12110",518.786.3691,www.regionalfoodbank.net
Food Bank For New York City,355 Food Center Dr.,"New York, NY 10474",718.991.4300,www.foodbanknyc.org
City Harvest,"6 East 32nd Street, 5th Fl.","New York, NY 10016",646.412.0600,www.cityharvest.org
"Foodlink, Inc.",1999 Mt. Read Boulevard,"Rochester, NY 14615",585.328.3380,www.foodlinkny.org
Food Bank of Central New York,7066 Interstate Island Road,"Syracuse, NY 13209",315.437.1899,www.foodbankcny.org
Akron-Canton Regional Foodbank,350 Opportunity Parkway,"Akron, OH 44307",330.535.6900,www.akroncantonfoodbank.org
Freestore Foodbank,1141 Central Parkway,"Cincinnati, OH 45202",513.482.4500,www.freestorefoodbank.org
"Greater Cleveland Food Bank, Inc.",15500 South Waterloo Road,"Cleveland, OH 44110",216.738.2265,www.clevelandfoodbank.org
"Country Neighbor Program, Inc. ",P. O. Box 212 ,"Orwell , OH 44076",440.437.6311,http://www.countryneighbor.org/
"The Foodbank, Inc.",56 Armor Place,"Dayton, OH 45417",937.461.0265,www.thefoodbankdayton.org
Shared Harvest Foodbank,5901 Dixie Highway,"Fairfield, OH 45014",513.874.0114,www.sharedharvest.org
Mid-Ohio Foodbank,3960 Brookham Dr.,"Grove City, OH 43123",614.274.7770,www.midohiofoodbank.org
Food Pantry Network of Licking County,823 Steel Avenue,"Newark, OH 43055",740.344.7401,http://www.foodpantrynetwork.net/
West Ohio Food Bank,1380 East Kibby Street P.O. Box 1566,"Lima, OH 45804",419.222.7946,www.westohiofoodbank.org/
SE Ohio Foodbank,1005 CIC Drive,"Logan, OH 43138",740.385.6813,hapcap.org/foodbank
Second Harvest Food Bank of North Central Ohio,5510 Baumhart Rd,"Lorain, OH 44053",440.960.2265,www.secondharvestfoodbank.org
"Second Harvest Foodbank of Clark, Champaign, & Logan Counties",701 East Columbia Street,"Springfield, OH 45503",937.325.8715,www.springfieldshfb.org/
Toledo Northwestern Ohio Food Bank,24 East Woodruff Avenue,"Toledo, OH 43604",419.242.5000,www.toledofoodbank.org
Second Harvest Food Bank of the Mahoning Valley,2805 Salt Springs Road,"Youngstown, OH 44509",330.792.5522,www.mahoningvalleysecondharvest.org
Regional Food Bank of Oklahoma,3355 South Purdue PO Box 270968,"Oklahoma City, OK 73179",405.972.1111,www.regionalfoodbank.org
Community Food Bank of Eastern Oklahoma,1304 N. Kenosha Ave.,"Tulsa, OK 74106",918.585.2800,www.okfoodbank.org
Oregon Food Bank,7900 NE 33rd Drive,"Portland, OR 97211",503.282.0555,www.oregonfoodbank.org
"Clatsop Community Action, Inc.",2010 SE Chokeberry Ave,"Warrenton, OR 97146",503.325.1400,http://www.ccaservices.org
Neighbor Impact,2303 SW 1st St.,"Redmond, OR 97756",541.548.2380,http://www.neighborimpact.org
South Coast Food Share,PO Box 899,"Coos Bay, OR 97420",541.888.7016,http://www.orcca.us
Linn Benton Food Share,545 SW 2nd Suite,"Corvallis, OR 97333",541.752.1010,http://www.csc.gen.or.us
FOOD for Lane County,770 Bailey Hill Rd,"Eugene, OR 97402",541.343.2822,http://foodforlanecounty.org
Klamath/Lake Counties Food Bank,3231 Maywood Drive,"Klamath Falls, OR 97603",541.882.1223,http://www.klamathfoodbank.org
Community Connection,104 Elm Street,"La Grande, OR 97850",541.963.7532,http://www.oregonon.org/about_us/voting_members/
Yamhill County Community,P.O. Box 621,"McMinnville, OR 97128",541.883.4172,http://www.yamhillcap.org
ACCESS,P.O. Box 4666,"Medford, OR 97501",541.779.6691,http://accesshelps.org
Food Share of Lincoln County,535 NE First St.,"Newport, OR 97365",541.265.8578,http://www.foodsharelincolncounty.org
CAPECO Food Share,"721 SE Third Street, STE D","Pendleton, OR 97801",541.966.4210,No Site
UCAN Food Shares,280 Kenneth Ford Dr.,"Roseburg, OR 97470",541.672.3421,http://www.ucancap.org
Marion Polk Food Share,1660 Salem Industrial Dr NE,"Salem, OR 97238",503.581.3855,http://www.marionpolkfoodshare.org
Columbia Pacific Food Bank,474 Milton Way,"St. Helens, OR 97051",503.397.9708,http://www.cpfoodbank.org
Clark County Food Bank,6502 NE 47th Avenue,"Vancouver, WA 98661",360.693.0939,www.clarkcountyfoodbank.org
Westmoreland County Food Bank,100 Devonshire Drive,"Delmont, PA 15626",724.468.8660,www.westmorelandfoodbank.org
Greater Pittsburgh Community Food Bank,1 North Linden Street,"Duquesne, PA 15110",412.460.3663,www.pittsburghfoodbank.org
Greater Washington County Food Bank,909 National Pike West,"Brownsville, PA 15417",724.632.2190,http://www.gwcfb.org
Fayette County Community Action Food Bank ,119 North Beeson Avenue ,"Uniontown , PA 15401",724.437.6050,http://fccaa.org/
Indiana County Community Action Agency(ICCAA),PO Box 187,"Indiana, PA 15701",724.463.7440,http://www.iccap.net/
Armstrong County Community Action Agency,705 Butler Road,"Kittanning, PA 16201",724.548.5762,No Site
Food for Families - St Vincent de Paul Society,945 Franklin Street ,"Johnstown , PA 15905",814.535.3315,http://svdpcares.org/
Corner Cupboard Food Bank ,881 Rolling Meadows Road ,"Waynesburg , PA 15370",724.627.9784,No Site
Salvation Army Beaver Falls ,712 13th Street ,"Beaver Falls , PA 15010",724.891.3605,No Site
Second Harvest Food Bank of Northwest Pennsylvania,1507 Grimm Drive,"Erie, PA 16501",814.459.3663,www.nwpafoodbank.org
Central Pennsylvania Food Bank,3908 Corey Road,"Harrisburg, PA 17109",717.564.1700,www.centralpafoodbank.org
Food for Families,2201 Union Street,"Altoona, PA 16601",814.944.6302,http://www.svdpcares.org/foodforfamilies/
Second Harvest Food Bank of Lehigh Valley and NE Pennsylvania,6969 Silver Crest Road,"Nazareth, PA 18064",610.434.0875,www.shfblv.org
Philabundance,3616 S. Galloway Street,"Philadelphia, PA 19148",215.339.0900,www.philabundance.org
Chester County Food Bank,650 Pennsylvania Drive,"Exton, PA 19341",610.873.6000,http://chestercountyfoodbank.org/
H & J Weinberg NE PA Regional Food Bank,185 Research Drive,"Pittston, PA 18640",570.908.2222,www.ceopeoplehelpingpeople.org
Greater Berks Food Bank,117 Morgan Drive,"Reading, PA 19608",610.926.5802,www.berksfoodbank.org/
Community Food Warehouse of Mercer County,109 S Sharpsville Avenue Suite A,"Sharon, PA 16146",724.981.0353,www.foodwarehouse.org
Banco de Alimentos de Puerto Rico,Calle Marginal #9 Corujo Industrial Park P.O. Box 2989,"Bayamon, PR 00960",787.740.3663,bancodealimentopr.org/Web%20MObile/index.html
Rhode Island Community Food Bank,200 Niantic Ave.,"Providence, RI 02907",401.942.6325,www.rifoodbank.org
Lowcountry Food Bank,2864 Azalea Drive,"Charleston, SC 29405",843.747.8146,www.lowcountryfoodbank.org
Harvest Hope Food Bank,2220 Shop Road P.O. Box 451,"Columbia, SC 29201",803.254.4432,www.harvesthope.org
Feeding South Dakota,4701 N Westport Ave,"Sioux Falls, SD 57107",605.335.0364,www.feedingsouthdakota.org
